R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
2.6E-39,0.0089,2200.0,4600.0,3800.0,4099999.9999999995,1400.0,4500.0,240.0,3200.0,6100.0,0.15,4099999.9999999995,1.1E-5,0.097,0.097,0.0,550.0,8.7,0.0,0.0,0.0,3.2E7,1.0,7.8E8,
9.2E-40,0.0065,30.0,2900.0,500.0,4099999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.2E-5,0.1,0.1,0.0,530.0,8.5,0.0,0.0,0.0,3.2E7,1.0,7.8E8,
9.2E-40,0.0065,30.0,2900.0,500.0,4099999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.4E-5,0.1,0.1,0.0,500.0,8.5,0.0,0.0,0.0,2.9E7,1.0,7.8E8,
2.6E-39,0.0089,2200.0,4600.0,3800.0,4099999.9999999995,1400.0,4500.0,240.0,3200.0,6100.0,0.15,4099999.9999999995,1.4E-5,0.097,0.097,0.0,520.0,8.7,0.0,0.0,0.0,2.9E7,1.0,7.8E8,
9.1E-40,0.0065,30.0,2900.0,490.0,4099999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.6E-5,0.1,0.1,0.0,480.0,8.4,0.0,0.0,0.0,2.8E7,1.0,7.8E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,1.8E-5,0.096,0.096,0.0,470.0,8.6,0.0,0.0,0.0,2.6E7,1.0,7.5E8,
9.1E-40,0.0065,30.0,2900.0,490.0,3999999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.9E-5,0.099,0.099,0.0,460.0,8.4,0.0,0.0,0.0,2.6E7,1.0,7.7E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,2.1E-5,0.096,0.096,0.0,450.0,8.6,0.0,0.0,0.0,2.5E7,1.0,7.5E8,
9.1E-40,0.0065,30.0,2900.0,490.0,3999999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,2.1E-5,0.099,0.099,0.0,440.0,8.4,0.0,0.0,0.0,2.5E7,1.0,7.7E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,2.1E-5,0.096,0.096,0.0,420.0,8.6,0.0,0.0,0.0,2.5E7,1.0,7.5E8,
9.1E-40,0.0065,30.0,2900.0,490.0,3999999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,2.1E-5,0.099,0.099,0.0,440.0,8.4,0.0,0.0,0.0,2.5E7,1.0,7.7E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,2.2E-5,0.096,0.096,0.0,380.0,8.6,0.0,0.0,0.0,2.4E7,1.0,7.4E8,
9.1E-40,0.0065,30.0,2900.0,490.0,3999999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.9E-5,0.099,0.099,0.0,430.0,8.4,0.0,0.0,0.0,2.6E7,1.0,7.7E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,2.5E-5,0.096,0.096,0.0,340.0,8.6,0.0,0.0,0.0,2.3E7,1.0,7.4E8,
9.1E-40,0.0065,30.0,2900.0,490.0,3999999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.7E-5,0.099,0.099,0.0,400.0,8.4,0.0,0.0,0.0,2.7E7,1.0,7.7E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3999999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3999999.9999999995,2.5E-5,0.096,0.096,0.0,320.0,8.6,0.0,0.0,0.0,2.3E7,1.0,7.4E8,
9.1E-40,0.0065,30.0,2900.0,490.0,3999999.9999999995,1400.0,4400.0,230.0,3100.0,5900.0,0.15,4099999.9999999995,1.5E-5,0.099,0.099,0.0,380.0,8.4,0.0,0.0,0.0,2.9E7,1.0,7.7E8,
2.6E-39,0.0088,2200.0,4600.0,3800.0,3899999.9999999995,1400.0,4500.0,240.0,3200.0,6000.0,0.15,3899999.9999999995,2.6E-5,0.096,0.096,0.0,310.0,8.6,0.0,0.0,0.0,2.2E7,1.0,7.4E8,
