R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.8E-5,0.031,0.031,0.0,440.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.7E-5,0.031,0.031,0.0,410.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.4E-5,0.031,0.031,0.0,380.0,8.6,0.0,0.0,0.0,2.0E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.9E-5,0.031,0.031,0.0,360.0,8.6,0.0,0.0,0.0,2.1E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.6E-5,0.031,0.031,0.0,340.0,8.6,0.0,0.0,0.0,2.1E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.8E-5,0.031,0.031,0.0,320.0,8.5,0.0,0.0,0.0,2.0E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.9E-5,0.031,0.031,0.0,310.0,8.5,0.0,0.0,0.0,2.0E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.7E-5,0.031,0.031,0.0,290.0,8.5,0.0,0.0,0.0,2.1E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,2.4E-5,0.031,0.031,0.0,270.0,8.5,0.0,0.0,0.0,2.1E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,2.5E-5,0.031,0.031,0.0,260.0,8.4,0.0,0.0,0.0,2.1E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,2.7E-5,0.031,0.031,0.0,260.0,8.4,0.0,0.0,0.0,2.0E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,2.6E-5,0.031,0.031,0.0,260.0,8.4,0.0,0.0,0.0,2.0E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,2.4E-5,0.031,0.031,0.0,250.0,8.4,0.0,0.0,0.0,2.1E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,2.1E-5,0.031,0.031,0.0,250.0,8.4,0.0,0.0,0.0,2.2E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,1.8E-5,0.031,0.031,0.0,250.0,8.4,0.0,0.0,0.0,2.4E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,1.5E-5,0.031,0.031,0.0,250.0,8.4,0.0,0.0,0.0,2.5E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,1.3E-5,0.031,0.031,0.0,250.0,8.4,0.0,0.0,0.0,2.6E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,1.2E-5,0.031,0.031,0.0,250.0,8.4,0.0,0.0,0.0,2.7E7,1.0,6.8E8,
