R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.4E-5,0.031,0.031,0.0,490.0,8.6,0.0,0.0,0.0,2.0E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.7E-5,0.031,0.031,0.0,460.0,8.5,0.0,0.0,0.0,1.9E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,3.9E-5,0.031,0.031,0.0,440.0,8.5,0.0,0.0,0.0,1.8E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,3.8E-5,0.031,0.031,0.0,430.0,8.5,0.0,0.0,0.0,1.8E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.3E-5,0.031,0.031,0.0,420.0,8.5,0.0,0.0,0.0,1.9E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,2.9E-5,0.031,0.031,0.0,410.0,8.5,0.0,0.0,0.0,2.0E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,3.0E-5,0.031,0.031,0.0,400.0,8.4,0.0,0.0,0.0,1.9E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,3.1E-5,0.031,0.031,0.0,380.0,8.4,0.0,0.0,0.0,1.9E7,1.0,6.7E8,
1.5E-37,0.0093,950.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,3.5E-5,0.031,0.031,0.0,370.0,8.4,0.0,0.0,0.0,1.8E7,1.0,6.7E8,
1.5E-37,0.0092,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3699999.9999999995,3.5E-5,0.031,0.031,0.0,350.0,8.4,0.0,0.0,0.0,1.8E7,1.0,6.6E8,
1.5E-37,0.0092,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3699999.9999999995,3.7E-5,0.031,0.031,0.0,320.0,8.4,0.0,0.0,0.0,1.8E7,1.0,6.6E8,
1.5E-37,0.0092,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3699999.9999999995,3.6E-5,0.031,0.031,0.0,310.0,8.4,0.0,0.0,0.0,1.8E7,1.0,6.6E8,
1.5E-37,0.0092,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3699999.9999999995,3.2E-5,0.031,0.031,0.0,310.0,8.4,0.0,0.0,0.0,1.9E7,1.0,6.6E8,
