R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.4E-5,0.031,0.031,0.0,490.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.8E-5,0.031,0.031,0.0,450.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,4.0E-5,0.031,0.031,0.0,430.0,8.5,0.0,0.0,0.0,1.8E7,1.0,7.0E8,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,4.1E-5,0.031,0.031,0.0,410.0,8.5,0.0,0.0,0.0,1.8E7,1.0,7.0E8,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.7E-5,0.031,0.031,0.0,390.0,8.5,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,3.4E-5,0.031,0.031,0.0,370.0,8.5,0.0,2.3E-19,1.0E-30,1.9E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,3.7E-5,0.031,0.031,0.0,350.0,8.5,0.0,2.8E-18,5.9E-29,1.8E7,1.0,6.9E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,3.5E-5,0.031,0.031,0.0,340.0,8.5,0.0,7.1E-18,2.1E-28,1.9E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,3.1E-5,0.031,0.031,0.0,320.0,8.5,0.0,1.3E-17,4.2E-28,1.9E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,2.7E-5,0.031,0.031,0.0,300.0,8.5,0.0,2.1E-17,6.4000000000000005E-28,2.1E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,2.2E-5,0.031,0.031,0.0,280.0,8.5,0.0,3.0E-17,8.500000000000001E-28,2.2E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,1.9E-5,0.031,0.031,0.0,280.0,8.5,0.0,4.1E-17,1.0E-27,2.3E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,1.6E-5,0.031,0.031,0.0,270.0,8.5,0.0,5.4E-17,1.1000000000000001E-27,2.5E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,1.3E-5,0.031,0.031,0.0,270.0,8.5,0.0,6.7E-17,1.2E-27,2.6E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,1.6E-5,0.031,0.031,0.0,270.0,8.5,0.0,1.2E-15,1.0E-26,2.5E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,1.8E-5,0.031,0.031,0.0,270.0,8.5,0.0,3.0E-15,4.3E-26,2.4E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3799999.9999999995,1.8E-5,0.031,0.031,0.0,270.0,8.5,0.0,5.3E-15,9.1E-26,2.4E7,1.0,6.8E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3699999.9999999995,1.8E-5,0.031,0.031,0.0,260.0,8.4,0.0,7.9E-15,1.5E-25,2.3E7,1.0,6.7E8,
1.5E-37,0.0093,950.0,410.0,3100.0,3699999.9999999995,3900.0,1600.0,2000.0,240.0,2500.0,0.18,3699999.9999999995,2.2E-5,0.031,0.031,0.0,260.0,8.4,0.0,1.1E-14,2.5E-25,2.2E7,1.0,6.7E8,
